Timestamp,Query,Metadata,Content,Answer
2025-06-22 23:17:17,Can I do electronic reporting for EU tax?,{'label': 'pretext_6'},"XBRL (Extensible Business Reporting Language) is a machine-readable mark-up language which allows for the automated consumption of large amount of information, ensuring the accessibility and comparability of data. XBRL is well-established and in use in several jurisdictions. Inline XBRL is an open standard which allows for the embedding of XBRL markups in XHTML documents. Inline XBRL enables both human and machine readability. Accordingly, the reports on income tax information referred to in Article 48b(1) of Directive 2013/34/EU should be marked up using the Inline XBRL standard.","Yes, electronic reporting for EU tax is allowed and even required in certain cases. According to the sources, the Commission is to lay down a common template and electronic reporting formats for reports on income tax information, which should be machine-readable. Undertakings are required to use the XHTML format and embed markups using the Inline XBRL specifications when drawing up the report on income tax information.

Source:pretext_3,art_1,art_4,pretext_6"
2025-06-22 23:17:17,Can I do electronic reporting for EU tax?,{'label': 'art_2'},"For the purposes of this Regulation, the following definitions shall apply: ‘report on income tax information’ means a report drawn up, published and made accessible pursuant to Article 48b(1) of Directive 2013/34/EU, and including the information referred to in Article 48c, paragraphs (2) and (3); ‘core taxonomy’ means the combined set of the taxonomy elements set out in table 2 of Annex IV and the following collection of links:(a)presentation linkbase, which groups the taxonomy elements;(b)calculation linkbase, which expresses arithmetic relationships between taxonomy elements;(c)label linkbase, which describes the meaning of each taxonomy element;(d)definition linkbase, which reflects dimensional relationships of the core taxonomy elements;‘XHTML format’ means a standard type of format in Hyper Text Markup Language (HTML) complying with the Extensible Hyper Text Markup Language (XHTML);‘Inline XBRL’ means a specification of the eXtensible Business Reporting Language (XBRL) standard developed by XBRL International.","Yes, electronic reporting for EU tax is allowed and even required in certain cases. According to the sources, the Commission is to lay down a common template and electronic reporting formats for reports on income tax information, which should be machine-readable. Undertakings are required to use the XHTML format and embed markups using the Inline XBRL specifications when drawing up the report on income tax information.

Source:pretext_3,art_1,art_4,pretext_6"
2025-06-22 23:17:17,Can I do electronic reporting for EU tax?,{'label': 'pretext_4'},"The common template provided for in this Regulation should facilitate the presentation of information to be disclosed in the report on income tax information pursuant to Article 48c, paragraphs 2 and 3 of Directive 2013/34/EU. In designing the template and reporting formats, progress in the area of digitisation and accessibility of information published by undertakings has been considered.","Yes, electronic reporting for EU tax is allowed and even required in certain cases. According to the sources, the Commission is to lay down a common template and electronic reporting formats for reports on income tax information, which should be machine-readable. Undertakings are required to use the XHTML format and embed markups using the Inline XBRL specifications when drawing up the report on income tax information.

Source:pretext_3,art_1,art_4,pretext_6"
2025-06-22 23:17:17,Can I do electronic reporting for EU tax?,{'label': 'art_1'},"This Regulation lays down the common template and electronic reporting formats, referred to in Article 48c(4) of Directive 2013/34/EU, to be used for the presentation of the report on income tax information.","Yes, electronic reporting for EU tax is allowed and even required in certain cases. According to the sources, the Commission is to lay down a common template and electronic reporting formats for reports on income tax information, which should be machine-readable. Undertakings are required to use the XHTML format and embed markups using the Inline XBRL specifications when drawing up the report on income tax information.

Source:pretext_3,art_1,art_4,pretext_6"
2025-06-22 23:17:17,Can I do electronic reporting for EU tax?,{'label': 'art_4'},"1.   When drawing up the report on income tax information, undertakings shall ensure the following:(a)the use of the XHTML format and the embedding of markups using the Inline XBRL specifications, in accordance with the applicable XBRL specifications set out in Annex II;(b)the mark-up of disclosures of information using the core taxonomy with the elements listed in Table 2 of Annex IV, in accordance with the marking up and filing requirements set out in Annex III.2.   Without prejudice to the obligations in paragraph 1, point (b), of this Article, undertakings may mark up disclosures of information using the core taxonomy with the elements listed in Table 3 of Annex IV.","Yes, electronic reporting for EU tax is allowed and even required in certain cases. According to the sources, the Commission is to lay down a common template and electronic reporting formats for reports on income tax information, which should be machine-readable. Undertakings are required to use the XHTML format and embed markups using the Inline XBRL specifications when drawing up the report on income tax information.

Source:pretext_3,art_1,art_4,pretext_6"
2025-06-23 12:24:20,Can I do electronic reporting for EU tax?,{'label': 'pretext_3'},"In order to ensure that the reports referred to in Article 48b(1) of Directive 2013/34/EU are comparable, the Commission is to lay down in this Regulation a common template and electronic reporting formats, which should be machine-readable. Those templates and electronic reporting formats are to be applicable also in cases where an undertaking relies on a proxy governed by the law of a Member State to publish and make accessible its report on income tax information.","Yes, you can do electronic reporting for EU tax. The European Commission has laid down a common template and electronic reporting formats for the presentation of the report on income tax information, which are to be machine-readable. The reports should be marked up using the Inline XBRL standard, which allows for both human and machine readability.

Source: pretext_3, art_1, pretext_6"
2025-06-23 12:24:20,Can I do electronic reporting for EU tax?,{'label': 'Introduction'},"The European Union comprises the following 27 Member States:  Austria,  Belgium,  Bulgaria,  Croatia,  Cyprus,  the Czech Republic, Denmark, Estonia, Finland, France, Germany,  Greece,  Hungary,  Ireland,  Italy,  Latvia,  Lithuania, Luxembourg,  Malta,  the  Netherlands,  Poland,  Portugal, Romania, the Slovak Republic, Slovenia, Spain and Sweden.  The  United  Kingdom  was  part  of  the  European Union until 31 January 2020 when the withdrawal process from the European Union was concluded ( see details below). date  until  31  December  2020,  the  United  Kingdom entered into a transition period, regulated under the Withdrawal Agreement, in which the United Kingdom was not represented  in  EU  institutions,  agencies,  bodies  and offices, but EU law still applied under certain conditions ( see details below). Member States, Norway, Iceland and Liechtenstein form the  European  Economic  Area  (EEA)  from  1  January 1994, by the conclusion of the Agreement of 13 December  1993  on  the  European  Economic  Area  (94/1).  The Agreement covers company law directives, customs and social security legislation and all primary and secondary legislation regarding the Treaty on the Functioning of the European  Union  (TFEU)  treaty  freedoms  ( see section 1.1.).  The  European  Union  has  also  concluded  several agreements  with  Switzerland  on,  inter  alia,  the  free movement of persons as well as the automatic exchange of  financial  account  information,  which  includes  an exemption for cross-border payments of dividends, interest  and  royalties  (Amending  Protocol  to  the  European Union-Switzerland Agreement (2015)). A  common  currency,  the  euro,  has  been  introduced  in Austria,  Belgium,  Croatia,  Cyprus,  Estonia,  Finland, France, Germany, Greece, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, the Netherlands, Portugal, the Slovak Republic, Slovenia and Spain. The following is an overview of the most significant of both the adopted and proposed EU regulations and directives covering direct tax. Topical tax developments at EU level are also covered, including Brexit ( see below), State aid ( see section 1.5.), implementation of global minimum taxation  (Pillar  Two)  ( see section  3.6.),  taxation  of  the digitalized economy, including the reallocation of taxing rights (Pillar One) ( see section 5.1.), the financial transaction  tax  ( see section  5.2.)  and  the  windfall  tax  for energy companies ( see section 5.3.). Relevant case law of the Court of Justice of the European Union on fundamental freedoms is covered in section 4.","Yes, you can do electronic reporting for EU tax. The European Commission has laid down a common template and electronic reporting formats for the presentation of the report on income tax information, which are to be machine-readable. The reports should be marked up using the Inline XBRL standard, which allows for both human and machine readability.

Source: pretext_3, art_1, pretext_6"
2025-06-23 12:24:20,Can I do electronic reporting for EU tax?,{'label': 'pretext_1'},"Pursuant to Article 48b(1) of Directive 2013/34/EU, Member States are to require undertakings to draw up, publish and make accessible a report on income tax information as regards the latter of the two consecutive financial years in each of which the consolidated revenue on their balance sheet date exceeded a total of EUR 750 000 000.","Yes, you can do electronic reporting for EU tax. The European Commission has laid down a common template and electronic reporting formats for the presentation of the report on income tax information, which are to be machine-readable. The reports should be marked up using the Inline XBRL standard, which allows for both human and machine readability.

Source: pretext_3, art_1, pretext_6"
2025-06-23 12:24:20,Can I do electronic reporting for EU tax?,{'label': 'pretext_2'},"In accordance with Article 48b(3), undertakings or their affiliated undertakings that disclose certain reports in accordance with Article 89 of Directive 2013/36/EU of the European Parliament and of the Council(2), are not covered by the obligation in Article 48b(1) of Directive 2013/34/EU.","Yes, you can do electronic reporting for EU tax. The European Commission has laid down a common template and electronic reporting formats for the presentation of the report on income tax information, which are to be machine-readable. The reports should be marked up using the Inline XBRL standard, which allows for both human and machine readability.

Source: pretext_3, art_1, pretext_6"
2025-06-23 12:24:20,Can I do electronic reporting for EU tax?,{'label': 'pretext_12'},"Pursuant to Article 48g of Directive 2013/34/EU, Member States are to ensure that that Directive’s requirements to report on income tax information apply, at the latest, from the commencement date of the first financial year starting on or after 22 June 2024. In order to provide enough time for undertakings to implement the common template and electronic reporting formats referred to in Article 48c(4) of Directive 2013/34/EU and laid down in this Regulation, a transition period is necessary.","Yes, you can do electronic reporting for EU tax. The European Commission has laid down a common template and electronic reporting formats for the presentation of the report on income tax information, which are to be machine-readable. The reports should be marked up using the Inline XBRL standard, which allows for both human and machine readability.

Source: pretext_3, art_1, pretext_6"
2025-06-23 12:24:20,Can I do electronic reporting for EU tax?,{'label': '3.5. Misuse of shell entities'},"The Commission, as part of its business tax agenda for the 21st century for 2021-2023 (COM(2021) 251 final), launched an initiative to tackle the abusive use of shell companies to ensure that legal entities without a substantial business presence do not benefit from tax advantages. The Commission issued a proposal for a Council directive  on  22  December  2021  ('ATAD  3')  and  opened  a feedback period which ran from 23 December 2021 to 6 April 2022. Through the use of objective indicators related to income, personnel and premises, the proposed directive aims to establish transparency standards in relation to the use of shell entities, in order to allow tax authorities to detect and prevent misuse of such entities for tax purposes and deny them certain tax benefits. As an advisory body in this procedure, the European Parliament  adopted  its  report  on  ATAD  3  proposal  on  17 January 2023 (COM(2021)0565 C9-0041/2022 -2021/0434(CNS))). The report is not legally binding for the ECOFIN but it should be taken into account while discussing and voting on the proposal.","Yes, you can do electronic reporting for EU tax. The European Commission has laid down a common template and electronic reporting formats for the presentation of the report on income tax information, which are to be machine-readable. The reports should be marked up using the Inline XBRL standard, which allows for both human and machine readability.

Source: pretext_3, art_1, pretext_6"
2025-06-23 12:24:20,Can I do electronic reporting for EU tax?,{'label': 'pretext_11'},"Pursuant to Article 48b(5) of Directive 2013/34/EU, certain branches opened in a Member State by undertakings that are not governed by the law of a Member State are required to publish and make accessible a report on income tax information concerning the ultimate parent undertaking or the standalone undertaking referred to in Article 48b(5), sixth subparagraph, point (a) of that Directive, as regards the latter of the last two consecutive financial years. If the ultimate parent or standalone undertaking does not provide all the required information, those branches are also to be required to draw up, publish and make accessible a statement indicating that the ultimate parent or standalone undertaking did not make the necessary information available. When drawing up such reports and statements, those branches should not be covered by the obligation to use the common template and electronic reporting format set out in this Regulation.","Yes, you can do electronic reporting for EU tax. The European Commission has laid down a common template and electronic reporting formats for the presentation of the report on income tax information, which are to be machine-readable. The reports should be marked up using the Inline XBRL standard, which allows for both human and machine readability.

Source: pretext_3, art_1, pretext_6"
2025-06-23 12:24:20,Can I do electronic reporting for EU tax?,{'label': 'Preface'},"IBFD is pleased to present the thirty-fifth edition of the European Tax Handbook . The 2024 European Tax Handbook covers surveys on 49 countries and jurisdictions. All information on the European tax systems has been updated to reflect, as much as possible, the laws applicable in 2024. As before, the European Tax Handbook includes in addition to the country level surveys, a chapter on EU Direct Taxation  (together  with  the  most  important  tax  directives),  as  well  as  descriptions  of  seven  of  the  most important Swiss cantons, i.e. Basel-Stadt, Bern, Geneva, Schwyz, Vaud, Zug and Zurich. All the country chapters of this book are also available in the online collection Country Surveys of the IBFD Tax Research Platform, which contains descriptions of the tax systems  of  53  European  countries  and,  in  addition, descriptions of the tax systems of all 26 Swiss cantons. The online title is European Tax Explorer (Plus) . It also includes the texts of income tax treaties concluded by all European countries. The online collection Country Surveys has quarterly updates; the chapters are revised as new information becomes available. More  comprehensive  coverage  of  the  majority  of  the jurisdictions can be found  in the online collection Country Analyses. A combination of Country Surveys, Country  Analyses  and  the  texts  of  income  tax  treaties concluded  by  countries  worldwide  is  offered  via  the online title Global Tax Explorer Plus and regional subsets of this title on Africa, Asia-Pacific, Europe,  Latin America and the Caribbean, and the Middle East. Countries  in  North  America  can  easily  be  ordered  via  the online title Tax Explorer - Country Select , which enables you to choose the exact countries for which you need coverage on the essentials on international tax. It also offers the  possibility  to  extend  this  with  the  very  detailed Country Analyses on major economies like Canada and the United States. For  the  latest  tax  developments,  see  IBFD's  daily Tax News Service online. More information about IBFD, its various activities and products is available at www.ibfd.org. The Editors April 2024","Yes, you can do electronic reporting for EU tax. The European Commission has laid down a common template and electronic reporting formats for the presentation of the report on income tax information, which are to be machine-readable. The reports should be marked up using the Inline XBRL standard, which allows for both human and machine readability.

Source: pretext_3, art_1, pretext_6"
2025-06-23 12:24:20,Can I do electronic reporting for EU tax?,{'label': 'art_5'},Undertakings shall apply this Regulation to reports on income tax information for the financial years starting on or after 1 January 2025.,"Yes, you can do electronic reporting for EU tax. The European Commission has laid down a common template and electronic reporting formats for the presentation of the report on income tax information, which are to be machine-readable. The reports should be marked up using the Inline XBRL standard, which allows for both human and machine readability.

Source: pretext_3, art_1, pretext_6"
2025-06-23 12:24:20,Can I do electronic reporting for EU tax?,{'label': 'pretext_8'},"Undertakings may draw up the report so that the information required is reported on the basis of the reporting instructions for tax purposes referred to in Section III, Parts B and C, of Annex III to Council Directive 2011/16/EU(5). In such a case, undertakings should ensure that the reporting instructions are consistently applied to all the information in the report. The reporting template should allow each undertaking to specify whether the report has been prepared on the basis of the reporting instructions referred to in Section III, Parts B and C, of Annex III to Council Directive 2011/16/EU.","Yes, you can do electronic reporting for EU tax. The European Commission has laid down a common template and electronic reporting formats for the presentation of the report on income tax information, which are to be machine-readable. The reports should be marked up using the Inline XBRL standard, which allows for both human and machine readability.

Source: pretext_3, art_1, pretext_6"
2025-06-23 12:24:20,Can I do electronic reporting for EU tax?,{'label': 'pretext_6'},"XBRL (Extensible Business Reporting Language) is a machine-readable mark-up language which allows for the automated consumption of large amount of information, ensuring the accessibility and comparability of data. XBRL is well-established and in use in several jurisdictions. Inline XBRL is an open standard which allows for the embedding of XBRL markups in XHTML documents. Inline XBRL enables both human and machine readability. Accordingly, the reports on income tax information referred to in Article 48b(1) of Directive 2013/34/EU should be marked up using the Inline XBRL standard.","Yes, you can do electronic reporting for EU tax. The European Commission has laid down a common template and electronic reporting formats for the presentation of the report on income tax information, which are to be machine-readable. The reports should be marked up using the Inline XBRL standard, which allows for both human and machine readability.

Source: pretext_3, art_1, pretext_6"
2025-06-23 12:24:20,Can I do electronic reporting for EU tax?,{'label': 'art_2'},"For the purposes of this Regulation, the following definitions shall apply: ‘report on income tax information’ means a report drawn up, published and made accessible pursuant to Article 48b(1) of Directive 2013/34/EU, and including the information referred to in Article 48c, paragraphs (2) and (3); ‘core taxonomy’ means the combined set of the taxonomy elements set out in table 2 of Annex IV and the following collection of links:(a)presentation linkbase, which groups the taxonomy elements;(b)calculation linkbase, which expresses arithmetic relationships between taxonomy elements;(c)label linkbase, which describes the meaning of each taxonomy element;(d)definition linkbase, which reflects dimensional relationships of the core taxonomy elements;‘XHTML format’ means a standard type of format in Hyper Text Markup Language (HTML) complying with the Extensible Hyper Text Markup Language (XHTML);‘Inline XBRL’ means a specification of the eXtensible Business Reporting Language (XBRL) standard developed by XBRL International.","Yes, you can do electronic reporting for EU tax. The European Commission has laid down a common template and electronic reporting formats for the presentation of the report on income tax information, which are to be machine-readable. The reports should be marked up using the Inline XBRL standard, which allows for both human and machine readability.

Source: pretext_3, art_1, pretext_6"
2025-06-23 12:24:20,Can I do electronic reporting for EU tax?,{'label': 'pretext_4'},"The common template provided for in this Regulation should facilitate the presentation of information to be disclosed in the report on income tax information pursuant to Article 48c, paragraphs 2 and 3 of Directive 2013/34/EU. In designing the template and reporting formats, progress in the area of digitisation and accessibility of information published by undertakings has been considered.","Yes, you can do electronic reporting for EU tax. The European Commission has laid down a common template and electronic reporting formats for the presentation of the report on income tax information, which are to be machine-readable. The reports should be marked up using the Inline XBRL standard, which allows for both human and machine readability.

Source: pretext_3, art_1, pretext_6"
2025-06-23 12:24:20,Can I do electronic reporting for EU tax?,{'label': 'art_1'},"This Regulation lays down the common template and electronic reporting formats, referred to in Article 48c(4) of Directive 2013/34/EU, to be used for the presentation of the report on income tax information.","Yes, you can do electronic reporting for EU tax. The European Commission has laid down a common template and electronic reporting formats for the presentation of the report on income tax information, which are to be machine-readable. The reports should be marked up using the Inline XBRL standard, which allows for both human and machine readability.

Source: pretext_3, art_1, pretext_6"
2025-06-23 12:24:20,Can I do electronic reporting for EU tax?,{'label': 'art_4'},"1.   When drawing up the report on income tax information, undertakings shall ensure the following:(a)the use of the XHTML format and the embedding of markups using the Inline XBRL specifications, in accordance with the applicable XBRL specifications set out in Annex II;(b)the mark-up of disclosures of information using the core taxonomy with the elements listed in Table 2 of Annex IV, in accordance with the marking up and filing requirements set out in Annex III.2.   Without prejudice to the obligations in paragraph 1, point (b), of this Article, undertakings may mark up disclosures of information using the core taxonomy with the elements listed in Table 3 of Annex IV.","Yes, you can do electronic reporting for EU tax. The European Commission has laid down a common template and electronic reporting formats for the presentation of the report on income tax information, which are to be machine-readable. The reports should be marked up using the Inline XBRL standard, which allows for both human and machine readability.

Source: pretext_3, art_1, pretext_6"
2025-06-23 12:28:35,Which reporting format is required for EU tax documents under this regulation?,{'label': 'art_1'},"This Regulation lays down the common template and electronic reporting formats, referred to in Article 48c(4) of Directive 2013/34/EU, to be used for the presentation of the report on income tax information.","The reporting format required for EU tax documents under this regulation is the XHTML format. This is to be used in combination with the embedding of markups using the Inline XBRL specifications, in accordance with the applicable XBRL specifications. 

Sources: art_4, pretext_5."
2025-06-23 12:28:35,Which reporting format is required for EU tax documents under this regulation?,{'label': 'tax handbook purpose'},"The 2024 European Tax Handbook includes surveys on 49 countries and jurisdictions. The surveys have been updated to reflect the laws applicable in 2024. A chapter on the European Union (together with  the  most  important  tax  directives)  and  descriptions  of  seven  of  the  most  important  Swiss cantons are included. Title: European Tax Handbook 2024 Date of publication: April 2024 ISBN: 9789087228767 (print), 9789087228781 (PDF), 9789087228774 (e-pub) Type of publication: Book Number of pages: 1437 Terms: Shipping fees apply. Shipping information is available on our website. Price (print/online): EUR 495 | USD 570 (VAT excl.) Price (eBook: e-Pub or PDF): EUR 330 | USD 380 (VAT excl.)","The reporting format required for EU tax documents under this regulation is the XHTML format. This is to be used in combination with the embedding of markups using the Inline XBRL specifications, in accordance with the applicable XBRL specifications. 

Sources: art_4, pretext_5."
